,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,3,3,0.5,7,11.45199990272522,-7.5033018381911125,670.0,670.0,595.0,15,12.059000015258789,-7.514898865088557,815.0,815.0,650.0
0,3,4,0.5,12,30.288000106811523,-10.12901891633772,1340.0,1340.0,1180.0,27,24.259999990463257,-10.155487134330798,1195.0,1195.0,915.0
0,3,4,0.5,12,27.00600004196167,-9.892713129308975,1155.0,1155.0,1035.0,21,23.026000022888184,-9.905024787190978,1105.0,1105.0,845.0
0,3,4,0.5,7,18.736000061035156,-10.172505474608412,800.0,800.0,680.0,24,28.049000024795532,-10.1737748925146,1320.0,1320.0,1000.0
0,3,4,0.5,23,60.52999997138977,-8.774727171169902,2655.0,2655.0,2395.0,35,36.782999992370605,-9.29414903734964,1750.0,1750.0,1330.0
0,3,4,0.5,8,24.70900011062622,-9.904393503029628,960.0,960.0,820.0,18,21.373000144958496,-9.919827006511575,950.0,950.0,730.0
0,3,5,0.5,13,47.77900004386902,-10.85476462869439,1595.0,1595.0,1370.0,35,49.81400012969971,-10.864651293270287,1795.0,1795.0,1320.0
0,3,5,0.5,7,26.937000036239624,-12.370595547044939,945.0,945.0,795.0,23,38.674999952316284,-12.372342171522423,1495.0,1495.0,1095.0
0,3,5,0.5,10,38.13900017738342,-11.870556643514439,1225.0,1225.0,1025.0,29,50.74000000953674,-11.87252452826468,1755.0,1755.0,1280.0
0,3,5,0.5,6,18.913000106811523,-12.789616485747025,625.0,625.0,525.0,20,35.22699999809265,-12.791830782966054,1300.0,1300.0,950.0
0,3,5,0.5,6,20.579999923706055,-12.38685854226516,735.0,735.0,610.0,24,35.25099992752075,-12.397645684041887,1405.0,1405.0,1030.0
0,3,6,0.5,38,72.58599996566772,-12.939488474489131,2110.0,2110.0,1780.0,278,183.26199984550476,-13.382097852182469,5335.0,5335.0,4045.0
0,3,6,0.5,9,38.449000120162964,-14.639820000315112,1150.0,1150.0,970.0,28,57.58299994468689,-14.643456569620177,1855.0,1855.0,1315.0
0,3,6,0.5,5,20.622999906539917,-15.94915735737472,605.0,605.0,515.0,19,44.47699999809265,-15.952824701417487,1450.0,1450.0,1030.0
0,3,6,0.5,243,591.7139999866486,-11.99174971188511,19435.0,19435.0,18505.0,248,174.739000082016,-13.114943233737193,5675.0,5675.0,4235.0
0,3,6,0.5,16,66.10199999809265,-14.186083197595773,2230.0,2230.0,1900.0,52,91.43799996376038,-14.19329382372861,3160.0,3160.0,2230.0
0,3,7,0.5,11,62.12700009346008,-16.88808244852233,1475.0,1475.0,1265.0,51,127.88899993896484,-16.451389003445847,3160.0,3160.0,2180.0
0,3,7,0.5,11,69.35999989509583,-17.154201598158565,1550.0,1550.0,1305.0,33,86.46000003814697,-17.170347969145098,2075.0,2075.0,1445.0
0,3,7,0.5,10,59.032999992370605,-16.370678447151697,1630.0,1630.0,1350.0,27,61.72000002861023,-16.41947541140378,1850.0,1850.0,1290.0
0,3,7,0.5,12,73.20799994468689,-16.460094768045522,1610.0,1610.0,1330.0,68,182.82299995422363,-16.43685136958709,4035.0,4035.0,2775.0
0,3,7,0.5,9,51.06599998474121,-14.206074211803713,1200.0,1200.0,990.0,44,116.22599983215332,-14.785807572617783,2925.0,2925.0,2015.0
0,3,3,0.6,6,10.460000038146973,-6.844873414864946,530.0,530.0,470.0,16,16.546000003814697,-6.854475529104304,930.0,930.0,735.0
